ParameterNmbr ParameterName Filename Row.Number Col.Start Col.End DecimalPlaces
1             CN2           000010001.mgt 11            4             16            5            
1             CN2           000010002.mgt 11            4             16            5            
1             CN2           000010003.mgt 11            4             16            5            
1             CN2           000010004.mgt 11            4             16            5            
1             CN2           000010005.mgt 11            4             16            5            
1             CN2           000010006.mgt 11            4             16            5            
1             CN2           000010007.mgt 11            4             16            5            
1             CN2           000010008.mgt 11            4             16            5            
1             CN2           000010009.mgt 11            4             16            5            
1             CN2           000010010.mgt 11            4             16            5            
1             CN2           000010011.mgt 11            4             16            5            
1             CN2           000010012.mgt 11            4             16            5            
1             CN2           000010013.mgt 11            4             16            5            
1             CN2           000010014.mgt 11            4             16            5            
1             CN2           000010015.mgt 11            4             16            5            
1             CN2           000010016.mgt 11            4             16            5            
1             CN2           000010017.mgt 11            4             16            5            
1             CN2           000010018.mgt 11            4             16            5            
1             CN2           000010019.mgt 11            4             16            5            
1             CN2           000010020.mgt 11            4             16            5            
1             CN2           000010021.mgt 11            4             16            5            
1             CN2           000020001.mgt 11            4             16            5            
1             CN2           000020002.mgt 11            4             16            5            
1             CN2           000020003.mgt 11            4             16            5            
1             CN2           000020004.mgt 11            4             16            5            
1             CN2           000020005.mgt 11            4             16            5            
1             CN2           000020006.mgt 11            4             16            5            
1             CN2           000020007.mgt 11            4             16            5            
1             CN2           000020008.mgt 11            4             16            5            
1             CN2           000020009.mgt 11            4             16            5            
1             CN2           000020010.mgt 11            4             16            5            
1             CN2           000020011.mgt 11            4             16            5            
1             CN2           000020012.mgt 11            4             16            5            
1             CN2           000020013.mgt 11            4             16            5            
1             CN2           000020014.mgt 11            4             16            5            
1             CN2           000020015.mgt 11            4             16            5            
1             CN2           000020016.mgt 11            4             16            5            
1             CN2           000020017.mgt 11            4             16            5            
1             CN2           000020018.mgt 11            4             16            5            
1             CN2           000020019.mgt 11            4             16            5            
1             CN2           000020020.mgt 11            4             16            5            
1             CN2           000020021.mgt 11            4             16            5            
1             CN2           000020022.mgt 11            4             16            5            
1             CN2           000020023.mgt 11            4             16            5            
1             CN2           000020024.mgt 11            4             16            5            
1             CN2           000020025.mgt 11            4             16            5            
1             CN2           000020026.mgt 11            4             16            5            
1             CN2           000020027.mgt 11            4             16            5            
1             CN2           000020028.mgt 11            4             16            5            
1             CN2           000020029.mgt 11            4             16            5            
1             CN2           000020030.mgt 11            4             16            5            
1             CN2           000020031.mgt 11            4             16            5            
1             CN2           000020032.mgt 11            4             16            5            
1             CN2           000030001.mgt 11            4             16            5            
1             CN2           000030002.mgt 11            4             16            5            
1             CN2           000030003.mgt 11            4             16            5            
1             CN2           000030004.mgt 11            4             16            5            
1             CN2           000030005.mgt 11            4             16            5            
1             CN2           000030006.mgt 11            4             16            5            
1             CN2           000030007.mgt 11            4             16            5            
1             CN2           000030008.mgt 11            4             16            5            
1             CN2           000030009.mgt 11            4             16            5            
1             CN2           000030010.mgt 11            4             16            5            
1             CN2           000030011.mgt 11            4             16            5            
1             CN2           000030012.mgt 11            4             16            5            
1             CN2           000030013.mgt 11            4             16            5            
1             CN2           000030014.mgt 11            4             16            5            
1             CN2           000030015.mgt 11            4             16            5            
1             CN2           000030016.mgt 11            4             16            5            
1             CN2           000030017.mgt 11            4             16            5            
1             CN2           000030018.mgt 11            4             16            5            
1             CN2           000030019.mgt 11            4             16            5            
1             CN2           000040001.mgt 11            4             16            5            
1             CN2           000040002.mgt 11            4             16            5            
1             CN2           000040003.mgt 11            4             16            5            
1             CN2           000040004.mgt 11            4             16            5            
1             CN2           000040005.mgt 11            4             16            5            
1             CN2           000040006.mgt 11            4             16            5            
1             CN2           000040007.mgt 11            4             16            5            
1             CN2           000040008.mgt 11            4             16            5            
1             CN2           000040009.mgt 11            4             16            5            
1             CN2           000040010.mgt 11            4             16            5            
1             CN2           000040011.mgt 11            4             16            5            
1             CN2           000040012.mgt 11            4             16            5            
1             CN2           000040013.mgt 11            4             16            5            
1             CN2           000040014.mgt 11            4             16            5            
1             CN2           000040015.mgt 11            4             16            5            
1             CN2           000040016.mgt 11            4             16            5            
1             CN2           000040017.mgt 11            4             16            5            
1             CN2           000040018.mgt 11            4             16            5            
1             CN2           000040019.mgt 11            4             16            5            
1             CN2           000040020.mgt 11            4             16            5            
1             CN2           000040021.mgt 11            4             16            5            
1             CN2           000040022.mgt 11            4             16            5            
1             CN2           000040023.mgt 11            4             16            5            
1             CN2           000040024.mgt 11            4             16            5            
1             CN2           000040025.mgt 11            4             16            5            
1             CN2           000040026.mgt 11            4             16            5            
1             CN2           000050001.mgt 11            4             16            5            
1             CN2           000050002.mgt 11            4             16            5            
1             CN2           000050003.mgt 11            4             16            5            
1             CN2           000050004.mgt 11            4             16            5            
1             CN2           000050005.mgt 11            4             16            5            
1             CN2           000050006.mgt 11            4             16            5            
1             CN2           000050007.mgt 11            4             16            5            
1             CN2           000050008.mgt 11            4             16            5            
1             CN2           000050009.mgt 11            4             16            5            
1             CN2           000050010.mgt 11            4             16            5            
1             CN2           000050011.mgt 11            4             16            5            
1             CN2           000050012.mgt 11            4             16            5            
1             CN2           000050013.mgt 11            4             16            5            
1             CN2           000050014.mgt 11            4             16            5            
1             CN2           000050015.mgt 11            4             16            5            
1             CN2           000050016.mgt 11            4             16            5            
2             ESCO          basins.bsn    13            4             16            3            
3             SURLAG        basins.bsn    20            4             16            3            
4             RCHRG_DP      000010001.gw  9             1             16            7            
4             RCHRG_DP      000010002.gw  9             1             16            7            
4             RCHRG_DP      000010003.gw  9             1             16            7            
4             RCHRG_DP      000010004.gw  9             1             16            7            
4            RCHRG_DP     000010005.gw 9            1            16           7           
4            RCHRG_DP     000010006.gw 9            1            16           7           
4            RCHRG_DP     000010007.gw 9            1            16           7           
4            RCHRG_DP     000010008.gw 9            1            16           7           
4            RCHRG_DP     000010009.gw 9            1            16           7           
4            RCHRG_DP     000010010.gw 9            1            16           7           
4            RCHRG_DP     000010011.gw 9            1            16           7           
4            RCHRG_DP     000010012.gw 9            1            16           7           
4            RCHRG_DP     000010013.gw 9            1            16           7           
