ParameterNmbr ParameterName Filename Row.Number Col.Start Col.End DecimalPlaces  rep
1             CN2           mgt 11            4             16            5       2 
2             ESCO          bsn    13            4             16            3    1        
3             SURLAG        bsn    20            4             16            3     1       
4             RCHRG_DP      gw  9             1             16            7         1   
5            GWQMN        gw 6            1            16           7         1
6            GW_REVAP     gw 7            1            16           7        1
7            REVAPMN      gw 8            1            16           7         1  
8            GW_DELAY     gw 4            1            16           7          1 
9            ALPHA_BF     gw 5            1            16           7           1
10            SOL_K       sol 11            28            39            5        2    
11            SOL_AWC     sol 10            28            39            5         2   
12            CH_N2       rte 6             4             16            3          1  
13            CH_K2       rte 7             4             16            3           1 
14            OV_N        hru 5             4             16            3            2
15            SFTMP       bsn    4             4             16            3          1  
16            SMTMP       bsn    5             4             16            3           1 
17            SMFMX       bsn    6             4             16            3            1
18            SMFMN       bsn    7             4             16            3            1
19            TIMP        bsn    8             4             16            3            1
20            EPCO        bsn    14            4             16            3            1
21            CANMX       hru 9             4             16            3            1
