ParameterNmbr ParameterName Filename Row.Number Col.Start Col.End DecimalPlaces  rep  multi
1             CN2           mgt 11            4             16            5       2      0
2             ESCO          bsn    13            4             16            3    1      0  
3             SURLAG        bsn    20            4             16            3     1      0 
4             RCHRG_DP      gw  9             1             16            7         1   0
5            GWQMN        gw 6            1            16           7         1        0
6            GW_REVAP     gw 7            1            16           7        1      0
7            REVAPMN      gw 8            1            16           7         1      0
8            GW_DELAY     gw 4            1            16           7          1     0
9            ALPHA_BF     gw 5            1            16           7           1     0
10            SOL_K       sol 11            28            39            5        2     1  
11            SOL_AWC     sol 10            28            39            5         2   1
12            CH_N2       rte 6             4             16            3          1    0
13            CH_K2       rte 7             4             16            3           1     0
14            OV_N        hru 5             4             16            3            2    0
15            SFTMP       bsn    4             4             16            3          1   0
16            SMTMP       bsn    5             4             16            3           1  0
17            SMFMX       bsn    6             4             16            3            1 0
18            SMFMN       bsn    7             4             16            3            1  0
19            TIMP        bsn    8             4             16            3            1  0
20            EPCO        bsn    14            4             16            3            1  0
21            SOL_ALB     sol  17           28             39            5         2     1
22            SOL_BD      sol  9          28            39             5         2     1         
